CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName
"! LTD","08209948","","","METROHOUSE 57 PEPPER ROAD","HUNSLET","LEEDS","YORKSHIRE","","LS10 2RU","Private Limited Company","Active","United Kingdom","","11/09/2012","30","9","30/06/2017","30/09/2015","DORMANT","09/10/2016","11/09/2015","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/08209948","","","","","","","","","","","","","","","","","","","",""
"!BIG IMPACT GRAPHICS LIMITED","07382019","","","335 ROSDEN HOUSE","372 OLD STREET","LONDON","","","EC1V 9AV","Private Limited Company","Active","United Kingdom","","21/09/2010","30","9","30/06/2017","30/09/2015","DORMANT","19/10/2016","21/09/2015","0","0","0","0","59112 - Video production activities","59113 - Television programme production activities","74100 - specialised design activities","74202 - Other specialist photography","0","0","http://business.data.gov.uk/id/company/07382019","","","","","","","","","","","","","","","","","","","",""
"!NFERNO LTD.","04753368","","","FIRST FLOOR THAVIES INN HOUSE 3-4","HOLBORN CIRCUS","LONDON","","","EC1N 2HA","Private Limited Company","Active","United Kingdom","","03/05/2003","30","4","31/01/2017","31/10/2014","TOTAL EXEMPTION FULL","31/05/2017","03/05/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/04753368","27/01/2009","DISTINCTIVE IMPRINT WORLDWIDE LIMITED","02/09/2003","DISTINCTIVE IMPRINT CONSULTANTS LIMITED","03/07/2003","AMEROOLA CONSULTANTS LIMITED","","","","","","","","","","","","","",""
"!NSPIRED LTD","SC421617","","","12 BON ACCORD SQUARE","","ABERDEEN","","","AB11 6DJ","Private Limited Company","Active","United Kingdom","","11/04/2012","31","3","31/12/2016","31/03/2015","","09/05/2017","11/04/2016","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/SC421617","","","","","","","","","","","","","","","","","","","",""
"!NVERTD DESIGNS LIMITED","09152972","","","32 RECTORY ROAD","","STEPPINGLEY","","","MK45 5AT","Private Limited Company","Active","United Kingdom","","30/07/2014","31","7","30/04/2017","31/07/2015","TOTAL EXEMPTION SMALL","27/08/2016","30/07/2015","0","0","0","0","58190 - Other publishing activities","","","","0","0","http://business.data.gov.uk/id/company/09152972","","","","","","","","","","","","","","","","","","","",""
"!OBAC LIMITED","FC031362","","","1ST AND 2ND FLOORS ELIZABETH HOUSE","LES RUETIES BRAYES","ST PETER PORT","GUERNSEY","GUERNSEY","GY1 1EW","Other company type","Active","CHANNEL ISLANDS","","30/11/2012","31","12","","31/12/2015","FULL","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/FC031362","","","","","","","","","","","","","","","","","","","",""
"!OBAC UK LIMITED","07687209","","","ENDEAVOUR HOUSE","COOPERS END ROAD","STANSTED AIRPORT","","","CM24 1SJ","Private Limited Company","Active","United Kingdom","","29/06/2011","29","12","29/09/2017","29/12/2015","FULL","27/07/2017","29/06/2016","0","0","0","0","70229 - Management consultancy activities other than financial management","","","","0","0","http://business.data.gov.uk/id/company/07687209","15/07/2011","!OBAC FITTINGS LIMITED","","","","","","","","","","","","","","","","","",""
"!YOZO FASS LIMITED","02714021","","","1 VERONICA HOUSE","WICKHAM ROAD","BROCKLEY","","","SE4 1NQ","Private Limited Company","Active","United Kingdom","","12/05/1992","31","3","31/12/2016","31/03/2015","DORMANT","09/06/2017","12/05/2016","0","0","0","0","90010 - Performing arts","","","","0","0","http://business.data.gov.uk/id/company/02714021","","","","","","","","","","","","","","","","","","","",""
""" AS WE DO "" "" AS I DO "" LIMITED","10121672","","","59A CRICKETFIELD ROAD","","LONDON","","ENGLAND","E5 8NR","Private Limited Company","Active","United Kingdom","","13/04/2016","30","4","13/01/2018","","NO ACCOUNTS FILED","11/05/2017","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/10121672","","","","","","","","","","","","","","","","","","","",""
""" BROOK VIEW ""MECHANICAL AND ELECTRICAL ENGINEERING SERVICES LIMITED","10275228","","","33 BROOKLANDS ROAD","","HAVANT","HAMPSHIRE","UNITED KINGDOM","PO9 3NT","Private Limited Company","Active","United Kingdom","","12/07/2016","31","7","12/04/2018","","NO ACCOUNTS FILED","09/08/2017","","0","0","0","0","33200 - Installation of industrial machinery and equipment","","","","0","0","http://business.data.gov.uk/id/company/10275228","","","","","","","","","","","","","","","","","","","",""
